Product_ID,Product_Name,Prod_Category,Supplier_ID,Selling_Price,Purchasing_Price
PROD-0231,Wall Clock,Home & Kitchen,SPL-231,384.19,330.61
PROD-0232,Storage Shelf,Furniture,SPL-232,1681.31,1560.21
PROD-0233,WiFi Router,Electronics,SPL-233,1081.17,982.86
PROD-0234,Air Purifier,Home & Kitchen,SPL-234,264.77,247.65
PROD-0235,Smartphone Case,Accessories,SPL-235,192.28,167.94
PROD-0236,Standing Desk,Furniture,SPL-236,1786.92,1572.46
PROD-0237,Throw Pillows,Home & Kitchen,SPL-237,416.9,364.61
PROD-0238,Wireless Charger,Electronics,SPL-238,1182.78,1087.02
PROD-0239,Wireless Presenter,Electronics,SPL-239,263.99,226.69
PROD-0240,USB-C Hub,Electronics,SPL-240,603.51,550.63
PROD-0241,Wireless Earbuds,Electronics,SPL-241,126.66,118.55
PROD-0242,Electric Kettle,Home & Kitchen,SPL-242,474.21,430.15
PROD-0243,Desk Organizer,Accessories,SPL-243,101.32,91.73
PROD-0244,Screen Protector,Accessories,SPL-244,141.69,121.76
PROD-0245,Desk Lamp,Home & Kitchen,SPL-245,131.2,117.74
PROD-0246,4K Monitor,Electronics,SPL-246,1118.64,1039.31
PROD-0247,Water Bottle,Home & Kitchen,SPL-247,176.08,164.35
PROD-0248,File Cabinet,Furniture,SPL-248,199.69,176.58
PROD-0249,Webcam HD,Electronics,SPL-249,207.14,188.12
PROD-0250,Keyboard Wrist Rest,Accessories,SPL-250,269.07,229.16
